time	event
30	S160
34	T160
64	S160
66	T160
89	S160
91	T160
119	S160
124	T0
130	T0
137	T0
139	P211
146	T0
157	S212
162	T0
165	S213
170	T0
177	T0
183	T0
213	T11
221	T0
225	S12
233	T0
242	T13
245	T0
250	T0
257	T0
287	S160
289	T160
320	S160
323	T160
349	S160
352	T160
380	S160
383	T0
399	S70
403	T70
419	S70
421	T70
440	S70
446	T0
466	S160
470	T160
508	S160
511	T160
543	S160
545	T160
580	S160
585	T0
588	S35
595	T0
600	T0
607	T0
617	S70
619	T70
631	S70
634	T70
651	S70
659	T0
689	S160
693	T0
699	T0
707	T0
742	S160
744	T160
776	S160
779	T160
817	S160
825	T0
842	S70
846	T70
853	S70
857	T0
889	S160
894	T0
901	T21
905	T0
1066	S22
1072	T0
1097	T23
1101	T0
1110	S70
1114	T70
1135	S70
1142	T0
1150	T0
1154	T0
1162	S151
1169	T0
1198	S160
1202	T160
1230	S160
1232	T160
1261	S160
1263	T160
1290	S160
1297	T0
1308	T21
1316	T0
1317	P22
1325	T0
1334	T23
1342	T0
1382	S160
1388	T0
1415	T21
1421	T0
1470	S22
1476	T0
1506	T23
1511	T0
1538	S160
1542	T160
1571	S160
1574	T160
1604	S160
1607	T160
1632	S160
1639	T0
1674	T21
1677	T0
1678	P22
1683	T0
1706	T23
1709	T0
1715	T0
1723	T0
1757	S160
1760	T160
1791	S160
1798	T0
1804	T21
1812	T0
1813	P22
1818	T0
1845	T23
1853	T0
1874	S160
1876	T160
1901	S160
1903	T160
1935	S160
1939	T0
1973	S160
1976	T160
2017	S160
2020	T160
2048	S160
2054	T0
2660	S31
2663	T0
2669	T0
2674	T0
2708	S160
2710	T160
2735	S160
2737	T160
2766	S160
2773	T0
2780	S70
2784	T70
2794	S70
2801	T0
2829	S160
2833	T160
2858	S160
2860	T160
2888	S160
2891	T160
2924	S160
2930	T0
2958	S160
2962	T160
2999	S160
3001	T160
3040	S160
3047	T0
3063	S70
3070	T0
3095	S160
3099	T160
3135	S160
3138	T0
3154	S70
3157	T70
3168	S70
3170	T70
3179	S70
3184	T0
3215	S160
3219	T160
3244	S160
3246	T160
3270	S160
3277	T0
3311	S160
3315	T160
3345	S160
3347	T160
3372	S160
3376	T0
3399	T21
3403	T0
3404	P22
3409	T0
3429	T23
3436	T0
3439	T0
3442	T0
3605	S42
3611	T0
3779	S43
3783	T0
3810	S160
3814	T160
3845	S160
3853	T0
3882	S160
3886	T0
3907	S151
3911	T0
3912	T0
3919	T0
3942	S160
3944	T160
3964	S160
3969	T0
3976	T11
3984	T0
3985	P12
3991	T0
4001	T13
4009	T0
4012	T0
4018	T0
4020	P211
4025	T0
4029	S212
4034	T0
4037	S213
4045	T0
4073	S160
4076	T0
4119	T21
4123	T0
4154	S22
4160	T0
4193	T23
4198	T0
4229	S160
4233	T0
4243	S70
4246	T70
4261	S70
4264	T0
4555	S46
4560	T0
4600	S41
4607	T0
5442	S42
5448	T0
5493	S43
5496	T0
5524	S160
5528	T160
5551	S160
5558	T0
5565	T0
5571	T0
5753	S33
5760	T0
5787	S160
5789	T160
5821	S160
5824	T160
5856	S160
5859	T160
5896	S160
5900	T0
6323	S33
6329	T0
6362	S160
6364	T160
6399	S160
6401	T160
6431	S160
6438	T0
6471	T21
6478	T0
6479	P22
6487	T0
6499	T23
6505	T0
6509	T0
6512	T0
6530	T21
6534	T0
6535	P22
6538	T0
6552	T23
6558	T0
6591	S22
6595	T0
6616	T23
6621	T0
6646	S160
6648	T160
6680	S160
6682	T160
6712	S160
6719	T0
6743	S70
6747	T70
6768	S70
6772	T0
6808	S160
6810	T160
6838	S160
6846	T0
6850	S70
6854	T0
6859	T0
6863	T0
6891	S160
6893	T160
6918	S160
6921	T160
6953	S160
6955	T160
6977	S160
6981	T0
6985	S70
6989	T70
7001	S70
7009	T0
7040	S160
7043	T0
7055	S70
7058	T0
7093	S160
7095	T160
7127	S160
7130	T160
7160	S160
7162	T160
7194	S160
7200	T0
7338	S33
7342	T0
7351	T0
7357	T0
7367	S70
7371	T70
7383	S70
7391	T0
7432	S160
7437	T0
7479	T21
7486	T0
7489	S22
7494	T0
7509	T23
7516	T0
7520	T0
7526	T0
7530	S70
7533	T0
7555	S160
7558	T160
7585	S160
7588	T160
7613	S160
7621	T0
7783	S31
7791	T0
7824	S160
7831	T0
7845	S151
7851	T0
7855	T0
7859	T0
7891	S160
7895	T160
7925	S160
7927	T160
7950	S160
7953	T0
8396	S33
8401	T0
8436	S160
8438	T160
8472	S160
8478	T0
8506	S160
8510	T160
8536	S160
8540	T160
8578	S160
8580	T160
8612	S160
8617	T0
8641	T21
8648	T0
8649	P22
8655	T0
8663	T23
8669	T0
8692	S160
8696	T160
8727	S160
8732	T0
8767	T21
8773	T0
8774	P22
8777	T0
8804	T23
8811	T0
8846	S160
8850	T160
8879	S160
8882	T160
8906	S160
8914	T0
8918	T0
8923	T0
8954	S160
8958	T160
8990	S160
8994	T0
9009	S70
9013	T70
9035	S70
9037	T70
