time	event
16	S10
23	T0
40	S120
44	T0
67	S80
72	T0
89	S110
94	T0
112	S20
119	T0
138	S110
143	T0
160	S90
167	T0
181	S20
188	T0
208	S42
211	T0
231	S41
235	T0
250	S90
257	T0
260	T0
264	T0
279	S41
283	T0
302	S100
308	T0
321	S20
325	T0
344	S100
348	T0
370	S120
376	T0
398	S42
405	T0
414	S160
422	T0
439	S41
446	T0
466	S42
469	T0
484	S10
487	T0
490	T0
497	T0
536	S150
542	T0
565	S42
570	T0
586	S20
590	T0
607	S110
614	T0
632	S120
639	T0
656	S90
662	T0
683	S110
691	T0
713	S42
721	T0
737	S41
742	T0
758	S120
761	T0
800	S150
806	T0
825	S10
833	T0
852	S42
857	T0
881	S42
886	T0
906	S42
914	T0
951	S150
957	T0
967	S160
975	T0
1014	S150
1021	T0
1037	S42
1043	T0
1053	S160
1061	T0
1083	S90
1087	T0
1109	S120
1117	T0
1159	S150
1167	T0
1187	S90
1192	T0
1210	S100
1214	T0
1235	S100
1239	T0
1259	S90
1264	T0
1302	S150
1310	T0
1350	S150
1357	T0
1374	S110
1380	T0
1420	S150
1425	T0
1449	S120
1452	T0
1464	S160
1469	T0
1488	S80
1496	T0
1514	S110
1517	T0
1534	S42
1539	T0
1556	S10
1562	T0
1601	S150
1609	T0
1633	S120
1641	T0
1654	S10
1661	T0
1676	S100
1684	T0
1702	S90
1709	T0
1728	S80
1734	T0
1754	S80
1760	T0
1781	S41
1787	T0
1809	S110
1813	T0
1826	S80
1831	T0
1853	S42
1859	T0
1880	S90
1885	T0
1908	S20
1913	T0
1954	S150
1960	T0
2001	S150
2004	T0
2021	S90
2025	T0
2047	S110
2053	T0
2074	S20
2080	T0
2102	S110
2106	T0
2125	S10
2130	T0
2151	S41
2154	T0
2174	S10
2181	T0
2197	S90
2202	T0
2218	S120
2224	T0
2244	S42
2251	T0
2271	S10
2277	T0
2298	S80
2305	T0
2326	S90
2332	T0
2371	S150
2374	T0
2393	S120
2399	T0
2416	S100
2419	T0
2442	S110
2448	T0
2463	S80
2470	T0
2489	S100
2497	T0
2512	S42
2516	T0
2534	S10
2542	T0
2565	S20
2569	T0
2593	S120
2601	T0
2641	S150
2647	T0
2665	S80
2670	T0
2709	S150
2713	T0
2731	S120
2735	T0
2758	S41
2762	T0
2783	S90
2791	T0
2808	S120
2813	T0
2835	S80
2839	T0
2859	S42
2863	T0
2890	S80
2896	T0
2915	S90
2922	T0
2938	S10
2946	T0
2967	S42
2974	T0
2988	S41
2993	T0
3012	S90
3015	T0
3034	S80
3040	T0
3063	S10
3066	T0
3093	S41
3097	T0
3123	S41
3126	T0
3141	S41
3148	T0
3163	S80
3167	T0
3191	S10
3194	T0
3233	S150
3239	T0
3258	S42
3264	T0
3285	S41
3288	T0
3326	S150
3329	T0
3350	S100
3354	T0
3363	S160
3366	T0
3385	S42
3392	T0
3411	S80
3419	T0
3440	S41
3447	T0
3464	S110
3470	T0
3489	S80
3495	T0
3521	S90
3524	T0
3541	S110
3546	T0
3562	S10
3569	T0
3610	S150
3615	T0
3638	S41
3642	T0
3661	S110
3668	T0
3677	S160
3683	T0
3697	S110
3701	T0
3740	S150
3746	T0
3755	S160
3760	T0
3779	S80
3785	T0
3804	S10
3809	T0
3828	S10
3831	T0
3851	S41
3857	T0
3869	S160
3877	T0
3896	S90
3899	T0
3917	S10
3924	T0
3942	S41
3950	T0
3971	S10
3975	T0
3997	S20
4000	T0
4018	S42
4022	T0
4032	S160
4039	T0
4061	S10
4067	T0
4083	S120
4090	T0
4106	S42
4113	T0
4135	S20
4143	T0
4184	S150
4191	T0
4208	S10
4211	T0
4234	S120
4240	T0
4260	S41
4263	T0
4289	S20
4295	T0
4305	S160
4309	T0
4328	S42
4334	T0
4350	S120
4358	T0
4377	S110
4382	T0
4402	S120
4408	T0
4426	S110
4433	T0
4473	S150
4477	T0
4486	S160
4494	T0
4509	S20
4512	T0
4552	S150
4556	T0
4572	S42
4579	T0
4598	S120
4605	T0
4620	S100
4625	T0
4644	S80
4648	T0
4652	T0
4660	T0
4702	S150
4709	T0
4750	S150
4757	T0
4800	S150
4804	T0
4824	S100
4828	T0
4851	S20
4858	T0
4874	S100
4878	T0
4898	S10
4901	T0
4924	S20
4931	T0
4956	S41
4963	T0
4979	S110
4983	T0
5001	S90
5009	T0
5027	S42
5030	T0
5051	S120
5054	T0
5077	S90
5082	T0
5100	S10
5103	T0
5124	S20
5130	T0
5153	S90
5157	T0
5175	S120
5183	T0
5206	S100
5210	T0
5219	S160
5226	T0
5246	S10
5251	T0
5274	S100
5280	T0
5299	S80
5307	T0
5323	S120
5328	T0
5345	S90
5351	T0
5375	S80
5382	T0
5403	S110
5410	T0
5420	S160
5426	T0
5444	S110
5451	T0
5472	S90
5476	T0
5496	S80
5501	T0
5528	S10
5534	T0
5558	S110
5561	T0
5581	S90
5588	T0
5611	S120
5616	T0
5641	S100
5644	T0
5665	S20
5669	T0
5690	S80
5698	T0
5714	S120
5722	T0
5739	S120
5744	T0
5754	S160
5761	T0
5781	S100
5786	T0
5805	S41
5810	T0
5831	S90
5835	T0
5852	S20
5860	T0
5868	S160
5872	T0
5895	S20
5902	T0
5928	S42
5932	T0
5945	S42
5951	T0
5971	S20
5978	T0
5993	S80
6000	T0
6023	S41
6028	T0
6049	S20
6055	T0
6062	S160
6066	T0
6086	S110
6093	T0
6133	S150
6138	T0
6157	S90
6163	T0
6182	S120
6188	T0
6208	S10
6211	T0
6221	S160
6226	T0
6242	S120
6249	T0
6259	S160
6263	T0
6278	S80
6286	T0
6302	S10
6309	T0
6328	S80
6331	T0
6347	S100
6355	T0
6370	S41
6376	T0
6397	S120
6402	T0
6420	S41
6427	T0
6449	S110
6453	T0
6472	S80
6478	T0
6500	S41
6507	T0
6527	S80
6533	T0
6553	S42
6561	T0
6580	S100
6586	T0
6602	S120
6610	T0
6624	S80
6631	T0
6652	S41
6655	T0
6676	S10
6682	T0
6700	S100
6703	T0
6720	S10
6727	T0
6748	S120
6751	T0
6773	S110
6779	T0
6799	S42
6802	T0
6822	S120
6828	T0
6838	S160
6842	T0
6863	S10
6866	T0
6885	S42
6893	T0
6911	S42
6915	T0
6934	S110
6938	T0
6948	S160
6955	T0
6975	S100
6979	T0
7003	S80
7008	T0
7028	S10
7036	T0
7057	S41
7060	T0
7082	S90
7086	T0
7105	S10
7113	T0
7151	S150
7159	T0
7167	S160
7170	T0
7189	S100
7197	T0
7213	S90
7219	T0
7235	S42
7240	T0
7259	S100
7263	T0
7280	S80
7283	T0
7304	S20
7312	T0
7349	S150
7356	T0
7381	S120
7386	T0
7404	S110
7411	T0
7432	S41
7440	T0
7455	S10
7459	T0
7478	S10
7485	T0
7504	S41
7510	T0
7529	S80
7532	T0
7549	S20
7552	T0
7592	S150
7596	T0
7613	S100
7621	T0
7639	S100
7645	T0
7660	S42
7665	T0
7695	S100
7702	T0
7722	S20
7725	T0
7764	S150
7772	T0
7794	S41
7798	T0
7820	S100
7823	T0
7846	S80
7854	T0
7863	S160
7869	T0
7908	S150
7914	T0
7932	S41
7935	T0
7957	S80
7963	T0
7984	S90
7991	T0
8010	S42
8017	T0
8039	S80
8047	T0
8068	S90
8075	T0
8092	S20
8099	T0
8115	S120
8122	T0
8136	S90
8140	T0
8149	S160
8154	T0
8172	S80
8179	T0
8217	S150
8220	T0
8244	S120
8249	T0
8267	S90
8270	T0
8292	S10
8295	T0
8309	S80
8317	T0
8334	S20
8339	T0
8356	S110
8363	T0
8376	S41
8382	T0
8399	S100
8406	T0
8429	S80
8432	T0
8453	S41
8460	T0
8479	S42
8483	T0
8501	S120
8506	T0
8529	S20
8537	T0
8559	S100
8562	T0
8576	S110
8582	T0
8602	S110
8609	T0
8619	S160
8625	T0
8645	S20
8648	T0
8667	S41
8671	T0
8694	S110
8698	T0
8715	S80
8719	T0
8733	S80
8741	T0
8758	S41
8762	T0
8783	S42
8788	T0
8804	S10
8809	T0
8832	S90
8840	T0
8857	S20
8864	T0
8882	S100
8888	T0
8910	S10
8918	T0
8960	S150
8967	T0
8988	S120
8995	T0
9018	S42
9022	T0
9038	S41
9045	T0
9063	S110
9068	T0
9080	S110
9084	T0
9094	S160
9101	T0
9119	S10
9127	T0
9146	S90
9152	T0
9170	S100
9177	T0
9198	S90
9205	T0
9226	S41
9233	T0
9250	S42
9254	T0
9278	S42
9282	T0
9321	S150
9324	T0
9343	S120
9348	T0
9390	S150
9393	T0
9413	S110
9416	T0
9438	S10
9446	T0
9483	S150
9491	T0
9509	S110
9516	T0
9534	S120
9539	T0
9557	S120
9562	T0
9578	S80
9582	T0
9617	S150
9623	T0
9644	S110
9652	T0
9668	S90
9675	T0
9694	S42
9697	T0
9714	S120
9718	T0
9738	S42
9743	T0
9758	S42
9765	T0
9783	S100
9789	T0
9808	S90
9815	T0
9852	S150
9856	T0
9878	S42
9883	T0
9925	S150
9933	T0
9946	S90
9951	T0
9992	S150
9999	T0
10015	S100
10022	T0
10040	S120
10047	T0
10088	S150
10095	T0
10115	S90
10120	T0
10136	S20
10142	T0
10160	S41
10168	T0
10192	S41
10200	T0
10217	S10
10224	T0
10248	S41
10253	T0
10277	S100
10283	T0
10302	S110
10305	T0
10324	S20
10329	T0
10351	S90
10355	T0
10372	S10
10379	T0
10406	S80
10414	T0
10436	S90
10442	T0
10458	S10
10465	T0
10484	S20
10492	T0
10514	S90
10521	T0
10542	S80
10548	T0
10566	S90
10569	T0
10586	S41
10594	T0
10612	S10
10619	T0
10639	S110
10644	T0
10653	S160
10660	T0
10680	S90
10688	T0
10701	S10
10704	T0
10724	S80
10730	T0
10754	S10
10760	T0
10780	S42
10787	T0
10804	S120
10812	T0
10831	S10
10835	T0
10850	S10
10855	T0
10871	S100
10876	T0
10897	S41
10905	T0
10923	S120
10930	T0
10946	S20
10954	T0
10977	S100
10981	T0
10997	S41
11002	T0
11012	S160
11015	T0
11057	S150
11064	T0
11085	S42
11093	T0
11101	S160
11104	T0
11125	S42
11131	T0
11147	S90
11150	T0
11173	S42
11177	T0
11198	S41
11201	T0
11223	S120
11228	T0
11246	S42
11252	T0
11271	S110
11277	T0
11295	S20
11298	T0
11316	S80
11323	T0
11344	S110
11351	T0
11371	S42
11377	T0
11396	S120
11402	T0
11420	S90
11425	T0
11447	S20
11451	T0
11475	S100
11479	T0
11497	S90
11505	T0
11530	S110
11533	T0
11550	S90
11558	T0
11584	S20
11590	T0
11614	S42
11619	T0
11642	S100
11645	T0
11655	S160
11660	T0
11680	S80
11688	T0
11725	S150
11732	T0
11751	S10
11757	T0
11777	S100
11785	T0
11801	S90
11808	T0
11827	S100
11832	T0
11841	S160
11847	T0
11866	S80
11872	T0
11882	S160
11887	T0
11915	S100
11918	T0
11938	S110
11941	T0
11960	S20
11967	T0
11984	S41
11989	T0
12003	S110
12010	T0
12029	S120
12037	T0
12059	S120
12067	T0
12107	S150
12113	T0
12136	S20
12141	T0
12160	S110
12164	T0
12188	S20
12192	T0
12208	S80
12216	T0
12234	S42
12239	T0
12260	S80
12265	T0
12273	S160
12279	T0
12297	S20
12304	T0
12324	S10
12328	T0
12348	S110
12352	T0
12371	S110
12374	T0
12396	S41
12399	T0
12421	S100
12424	T0
12444	S41
12448	T0
12470	S42
12473	T0
12497	S90
12500	T0
12523	S90
12526	T0
12536	S160
12541	T0
12561	S120
12565	T0
12586	S20
12592	T0
12632	S150
12638	T0
12658	S120
12666	T0
12680	S100
12684	T0
12698	S100
12703	T0
12712	S160
12718	T0
12737	S80
12745	T0
12758	S120
12762	T0
12780	S41
12784	T0
12824	S150
12828	T0
12847	S100
12850	T0
12874	S41
12878	T0
12901	S80
12908	T0
12928	S100
12934	T0
12951	S10
12954	T0
12969	S10
12977	T0
12994	S20
13001	T0
13042	S150
13047	T0
13059	S160
13062	T0
13103	S150
13106	T0
13117	S160
13124	T0
13139	S20
13143	T0
13160	S100
13165	T0
13187	S90
13191	T0
13211	S90
13219	T0
13240	S110
13245	T0
13264	S41
13272	T0
13290	S80
13297	T0
13314	S110
13319	T0
13339	S42
13344	T0
13365	S10
13368	T0
