time	event
21	S10
28	T0
49	S10
55	T0
73	S20
81	T0
103	S80
107	T0
126	S20
129	T0
140	S20
146	T0
163	S80
166	T0
185	S20
188	T0
212	S10
220	T0
243	S10
246	T0
266	S20
272	T0
291	S10
297	T0
315	S20
320	T0
342	S80
349	T0
374	S10
379	T0
395	S20
399	T0
418	S10
425	T0
443	S20
449	T0
470	S20
476	T0
497	S80
505	T0
517	S20
523	T0
541	S20
549	T0
570	S80
574	T0
590	S10
596	T0
619	S80
622	T0
640	S80
643	T0
659	S10
663	T0
676	S10
684	T0
708	S10
714	T0
738	S80
745	T0
766	S20
772	T0
793	S10
798	T0
815	S80
823	T0
839	S10
846	T0
870	S20
877	T0
896	S10
904	T0
925	S10
931	T0
950	S80
956	T0
977	S80
981	T0
998	S20
1004	T0
1020	S80
1027	T0
1045	S20
1051	T0
1069	S80
1077	T0
1101	S10
1106	T0
1122	S20
1130	T0
1154	S20
1161	T0
1179	S20
1183	T0
1201	S80
1205	T0
1229	S80
1234	T0
1253	S80
1256	T0
1272	S10
1279	T0
1297	S20
1304	T0
1329	S20
1333	T0
1352	S10
1360	T0
1383	S10
1390	T0
1392	T0
1397	T0
1415	S80
1421	T0
1448	S80
1451	T0
1472	S20
1480	T0
1498	S20
1501	T0
1524	S80
1529	T0
1551	S20
1556	T0
1577	S80
1585	T0
1605	S20
1613	T0
1630	S80
1633	T0
1654	S10
1661	T0
1681	S20
1686	T0
1706	S20
1714	T0
1733	S20
1738	T0
1757	S20
1763	T0
1782	S80
1785	T0
1808	S20
1815	T0
1834	S20
1838	T0
1862	S20
1869	T0
1889	S10
1895	T0
1914	S20
1921	T0
1941	S10
1947	T0
1964	S80
1969	T0
1994	S10
2001	T0
2027	S80
2033	T0
2056	S80
2061	T0
2080	S10
2086	T0
2103	S80
2111	T0
2131	S80
2137	T0
2154	S80
2158	T0
2174	S20
2177	T0
2197	S10
2202	T0
2221	S20
2226	T0
2239	S20
2246	T0
2267	S20
2270	T0
2288	S20
2292	T0
2310	S80
2318	T0
2341	S10
2347	T0
2363	S20
2366	T0
2383	S10
2389	T0
2394	T0
2397	T0
2414	S80
2418	T0
2441	S10
2447	T0
2468	S20
2474	T0
2492	S20
2495	T0
2516	S80
2522	T0
2541	S20
2547	T0
2567	S10
2571	T0
2594	S80
2600	T0
2621	S80
2625	T0
2640	S10
2644	T0
2662	S20
2668	T0
2690	S20
2698	T0
2721	S10
2728	T0
2753	S20
2758	T0
2772	S10
2777	T0
2801	S20
2804	T0
2823	S10
2828	T0
2848	S80
2852	T0
2873	S80
2877	T0
2896	S20
2904	T0
2922	S80
2929	T0
2948	S20
2952	T0
2974	S80
2980	T0
2999	S10
3002	T0
3022	S80
3025	T0
3048	S10
3054	T0
3077	S20
3081	T0
3098	S20
3103	T0
3121	S80
3127	T0
3145	S80
3152	T0
3172	S10
3175	T0
3194	S20
3199	T0
3220	S80
3225	T0
3244	S10
3251	T0
3269	S10
3274	T0
3291	S10
3296	T0
3319	S10
3322	T0
3342	S10
3348	T0
3368	S20
3372	T0
3391	S80
3397	T0
3419	S20
3422	T0
3445	S80
3452	T0
3471	S10
3479	T0
3499	S20
3503	T0
3518	S20
3524	T0
3546	S20
3551	T0
3566	S10
3574	T0
3595	S20
3599	T0
3613	S10
3616	T0
3635	S10
3640	T0
3666	S80
3671	T0
3691	S10
3698	T0
3718	S20
3723	T0
3738	S10
3741	T0
3760	S20
3764	T0
3787	S20
3790	T0
3810	S20
3815	T0
3832	S10
3838	T0
3862	S20
3866	T0
3886	S80
3892	T0
3912	S10
3916	T0
3938	S10
3944	T0
3962	S80
3967	T0
3988	S10
3991	T0
4009	S10
4016	T0
4039	S80
4046	T0
4064	S20
4067	T0
4091	S10
4094	T0
4116	S80
4121	T0
4140	S80
4143	T0
4165	S10
4173	T0
4192	S20
4195	T0
4215	S80
4220	T0
4243	S10
4250	T0
4270	S80
4278	T0
4297	S20
4301	T0
4320	S10
4324	T0
4342	S20
4345	T0
4367	S80
4371	T0
4387	S20
4394	T0
4419	S20
4424	T0
4442	S20
4449	T0
4472	S80
4475	T0
4496	S20
4501	T0
4515	S10
4520	T0
4538	S10
4545	T0
4565	S80
4569	T0
4588	S10
4592	T0
4615	S20
4620	T0
4640	S20
4643	T0
4662	S10
4670	T0
4684	S20
4691	T0
4711	S80
4718	T0
4740	S20
4745	T0
4758	S20
4761	T0
4784	S10
4788	T0
4808	S20
4814	T0
4836	S20
4839	T0
4854	S20
4861	T0
4882	S80
4887	T0
4908	S10
4916	T0
4935	S20
4942	T0
4962	S80
4969	T0
4990	S80
4997	T0
