time	event
20	S10
23	T0
39	S10
44	T0
66	S241
72	T0
92	S243
96	T0
117	S232
125	T0
126	P261
129	T0
150	S262
156	T0
158	P263
163	T0
164	P220
172	T0
189	S20
192	T0
213	S251
218	T0
239	S252
242	T0
264	S244
270	T0
289	S242
292	T0
300	T0
304	T0
323	S242
331	T0
352	S243
358	T0
378	S241
384	T0
403	S20
410	T0
429	S243
435	T0
452	S10
460	T0
478	S20
484	T0
506	S232
512	T0
528	S241
534	T0
535	P220
541	T0
558	S252
561	T0
582	S244
589	T0
611	S241
616	T0
636	S244
639	T0
660	S241
665	T0
680	S243
687	T0
704	S242
712	T0
729	S244
736	T0
754	S242
761	T0
781	S244
784	T0
804	S232
811	T0
830	S10
834	T0
853	S270
857	T0
858	P261
864	T0
877	S262
882	T0
883	P263
890	T0
907	S232
913	T0
931	S270
936	T0
953	S241
956	T0
974	S243
980	T0
1004	S251
1009	T0
1026	S243
1029	T0
1051	S244
1055	T0
1073	S242
1078	T0
1107	S20
1112	T0
1131	S241
1137	T0
1157	S243
1163	T0
1178	S242
1184	T0
1197	S244
1200	T0
1221	S241
1228	T0
1251	S244
1259	T0
1278	S244
1286	T0
1309	S242
1316	T0
1318	P220
1321	T0
1341	S252
1344	T0
1365	S270
1373	T0
1392	S244
1399	T0
1419	S243
1423	T0
1443	S10
1450	T0
1473	S243
1478	T0
1495	S241
1499	T0
1520	S231
1526	T0
1546	S232
1551	T0
1570	S243
1573	T0
1593	S232
1600	T0
1618	S251
1623	T0
1624	P220
1628	T0
1651	S231
1655	T0
1670	S270
1678	T0
1707	S241
1714	T0
1730	S242
1735	T0
1756	S241
1759	T0
1774	S242
1782	T0
1802	S244
1806	T0
1829	S243
1837	T0
1854	S244
1859	T0
1881	S241
1888	T0
1910	S244
1914	T0
1938	S242
1944	T0
1962	S251
1966	T0
1980	S251
1983	T0
1984	P220
1989	T0
2010	S241
2015	T0
2042	S243
2045	T0
2065	S242
2070	T0
2087	S241
2092	T0
2109	S243
2116	T0
2134	S244
2138	T0
2163	S242
2167	T0
2168	P261
2176	T0
2197	S262
2201	T0
2202	P263
2208	T0
2227	S244
2232	T0
2249	S242
2256	T0
2261	T0
2264	T0
2285	S20
2292	T0
2310	S241
2318	T0
2338	S244
2343	T0
2362	S241
2366	T0
2385	S270
2392	T0
2394	P261
2400	T0
2422	S262
2426	T0
2429	S263
2435	T0
2456	S232
2464	T0
2489	S244
2492	T0
2512	S252
2517	T0
2534	S251
2540	T0
2552	S252
2560	T0
2575	S232
2578	T0
2600	S20
2606	T0
2628	S231
2635	T0
2649	S270
2656	T0
2676	S20
2682	T0
2697	S244
2705	T0
2726	S243
2732	T0
2748	S244
2753	T0
2761	T0
2767	T0
2784	S244
2789	T0
2790	P261
2794	T0
2817	S262
2825	T0
2826	P263
2829	T0
2832	S220
2835	T0
2854	S20
2861	T0
2881	S20
2885	T0
2901	S20
2909	T0
2924	S232
2930	T0
2931	P261
2937	T0
2960	S262
2967	T0
2968	P263
2974	T0
2999	S20
3004	T0
3028	S270
3036	T0
3039	S220
3047	T0
3065	S10
3072	T0
3087	S241
3095	T0
3115	S232
3123	T0
3143	S252
3150	T0
3151	P261
3158	T0
3175	S262
3183	T0
3184	P263
3192	T0
3218	S20
3222	T0
3225	S261
3229	T0
3254	S262
3259	T0
3260	P263
3266	T0
3287	S20
3293	T0
3308	S20
3311	T0
3330	S244
3333	T0
3347	S242
3351	T0
3374	S241
3380	T0
3402	S244
3405	T0
3425	S242
3429	T0
3445	S243
3450	T0
3469	S242
3472	T0
3488	S243
3493	T0
3518	S242
3521	T0
3541	S244
3546	T0
3566	S243
3570	T0
3576	T0
3580	T0
3598	S231
3605	T0
3626	S270
3634	T0
3656	S20
3659	T0
3682	S270
3685	T0
3702	S270
3709	T0
3730	S251
3738	T0
3762	S252
3765	T0
3781	S251
3786	T0
3812	S252
3818	T0
3837	S251
3842	T0
3866	S270
3872	T0
3893	S244
3898	T0
3899	P220
3903	T0
3904	P261
3912	T0
3929	S262
3934	T0
3935	P263
3938	T0
3957	S251
3965	T0
3988	S252
3991	T0
4014	S251
4017	T0
4037	S252
4043	T0
4062	S231
4066	T0
4082	S252
4085	T0
4105	S231
4109	T0
4127	S243
4135	T0
4160	S10
4164	T0
4182	S270
4185	T0
4205	S251
4210	T0
4229	S232
4233	T0
4258	S20
4265	T0
4287	S242
4291	T0
4292	P220
4300	T0
4321	S242
4324	T0
4344	S10
4350	T0
4370	S241
4374	T0
4392	S242
4395	T0
4413	S241
4418	T0
4437	S244
4442	T0
4461	S270
4467	T0
4468	P261
4471	T0
4491	S262
4494	T0
4495	P263
4503	T0
4524	S251
4527	T0
4543	S252
4546	T0
4562	S231
4567	T0
4588	S10
4593	T0
4617	S231
4622	T0
4640	S241
4648	T0
4670	S10
4677	T0
4695	S241
4700	T0
4726	S244
4732	T0
4750	S270
4753	T0
4770	S232
4778	T0
4798	S243
4803	T0
4822	S231
4826	T0
4849	S244
4855	T0
4881	S232
4886	T0
4887	P261
4890	T0
4907	S262
4913	T0
4915	P263
4918	T0
4934	S232
4938	T0
4959	S241
4962	T0
4981	S270
4985	T0
5003	S242
5011	T0
5039	S231
5046	T0
5064	S243
5072	T0
5091	S270
5095	T0
5120	S20
5125	T0
5143	S232
5150	T0
5168	S231
5174	T0
5193	S244
5197	T0
5219	S241
5224	T0
5244	S231
5249	T0
5269	S270
5277	T0
5297	S20
5302	T0
5323	S244
5326	T0
5346	S231
5352	T0
5353	P220
5359	T0
5376	S231
5381	T0
5402	S252
5406	T0
5427	S251
5435	T0
5457	S231
5461	T0
5463	P261
5467	T0
5486	S262
5494	T0
5495	P263
5502	T0
5528	S243
5531	T0
5546	S242
5554	T0
5575	S10
5582	T0
5598	S231
5603	T0
5624	S242
5631	T0
5644	S244
5647	T0
5666	S241
5672	T0
5691	S243
5699	T0
5723	S242
5730	T0
5751	S20
5756	T0
5757	P261
5764	T0
5783	S262
5786	T0
5787	P263
5795	T0
5796	P220
5802	T0
5822	S243
5826	T0
5843	S251
5847	T0
5862	S242
5870	T0
5886	S10
5894	T0
5915	S252
5920	T0
5940	S251
5943	T0
5964	S244
5968	T0
5971	S261
5978	T0
6003	S262
6007	T0
6009	P263
6014	T0
6037	S252
6042	T0
6061	S270
6069	T0
6088	S20
6095	T0
6114	S231
6120	T0
6141	S242
6148	T0
6171	S241
6175	T0
6197	S243
6204	T0
6215	S231
6220	T0
6238	S243
6244	T0
6261	S242
6266	T0
6287	S252
6295	T0
6312	S251
6320	T0
6338	S270
6345	T0
6365	S10
6368	T0
6389	S232
6395	T0
6415	S244
6418	T0
6420	P261
6423	T0
6445	S262
6448	T0
6450	P263
6457	T0
6478	S252
6482	T0
6502	S252
6507	T0
6508	P220
6513	T0
6527	S244
6535	T0
6552	S243
6555	T0
6579	S231
6585	T0
6603	S243
6607	T0
6622	S241
6625	T0
6647	S244
6653	T0
6672	S242
6678	T0
6694	S243
6699	T0
6716	S241
6724	T0
6744	S242
6747	T0
6770	S244
6777	T0
6799	S242
6803	T0
6804	P261
6809	T0
6834	S262
6842	T0
6844	P263
6850	T0
6873	S252
6877	T0
6902	S231
6910	T0
6934	S243
6940	T0
6961	S242
6966	T0
6986	S243
6990	T0
7010	S244
7013	T0
7031	S242
7038	T0
7057	S244
7064	T0
7081	S252
7085	T0
7102	S231
7107	T0
7125	S251
7131	T0
7151	S252
7154	T0
7171	S231
7176	T0
7197	S242
7200	T0
7217	S243
7223	T0
7239	S242
7244	T0
7263	S270
7270	T0
7292	S243
7299	T0
7319	S242
7324	T0
7344	S252
7352	T0
7375	S244
7381	T0
7404	S241
7412	T0
7423	S243
7429	T0
7450	S241
7456	T0
7459	S261
7464	T0
7481	S262
7489	T0
7490	P263
7495	T0
7514	S20
7517	T0
7536	S251
7541	T0
7564	S270
7567	T0
7585	S242
7589	T0
7591	P220
7596	T0
7598	P261
7606	T0
7621	S262
7629	T0
7631	P263
7636	T0
7660	S244
7668	T0
7688	S243
7694	T0
7719	S241
7722	T0
7743	S244
7747	T0
7770	S242
7778	T0
7779	P220
7784	T0
7785	P261
7791	T0
7809	S262
7817	T0
7818	P263
